n,mergeSort,quickSort
462,0.0008319,0.0078396
463,0.0009145,0.008069
464,0.000833,0.0086564
465,0.0008381,0.0081991
466,0.0008294,0.0083233
467,0.0008382,0.009509
468,0.001057,0.0113124
469,0.0020468,0.0098381
470,0.0008573,0.0106258
471,0.0009216,0.0112605
472,0.0015811,0.0115118
473,0.0010053,0.0132363
474,0.0018563,0.0110255
475,0.0008432,0.0118477
476,0.0009383,0.0110784
477,0.0014669,0.011323
478,0.0018107,0.0111733
479,0.0010411,0.0120961
480,0.0016996,0.0120605
481,0.0018292,0.0111079
482,0.00097,0.0132233
483,0.0016602,0.0105719
484,0.0011302,0.0129218
485,0.0016515,0.011889
486,0.0012243,0.0133552
487,0.0016188,0.0114239
488,0.0008612,0.0121512
489,0.0013474,0.0141295
490,0.0012228,0.012108
491,0.0009168,0.0122361
492,0.0015784,0.011225
493,0.0018028,0.013482
494,0.0014284,0.0126462
495,0.0021833,0.0143411
496,0.0010154,0.0129115
497,0.0017285,0.0133502
498,0.0018842,0.0124947
499,0.0020875,0.0123698
500,0.0018598,0.0120494
501,0.0019212,0.013396
502,0.001407,0.0126964
503,0.0012218,0.0127347
504,0.0015908,0.0109365
505,0.0015414,0.0118344
506,0.0012983,0.012606
507,0.001727,0.0126253
508,0.0013057,0.0122716
509,0.0009256,0.009238
510,0.000926,0.0096956
511,0.0009676,0.010641
512,0.0009121,0.0094128
513,0.0015284,0.0096018
514,0.0009431,0.0096927
515,0.0009821,0.0103121
516,0.0009423,0.009865
517,0.0009462,0.0128003
518,0.0021057,0.0142439
519,0.001796,0.012131
520,0.0021129,0.0123666
521,0.0019327,0.012505
522,0.001697,0.0131164
523,0.0019853,0.0131083
524,0.0013656,0.0127556
525,0.0022201,0.0148583
526,0.0014962,0.0128714
527,0.0011718,0.0121755
528,0.0019956,0.012739
529,0.0010886,0.0145705
530,0.0012555,0.0130879
531,0.002328,0.0140926
532,0.0021641,0.0152083
533,0.0020334,0.0138752
534,0.0015661,0.0138101
535,0.0022501,0.0128126
536,0.0011661,0.0146647
537,0.0021929,0.0140229
538,0.0016571,0.0125619
539,0.0012906,0.0134746
540,0.0014717,0.0149968
541,0.0014551,0.0138529
542,0.0011216,0.0142371
543,0.0011503,0.0106349
544,0.0010013,0.0109397
545,0.0010079,0.0108419
546,0.0010029,0.0106515
547,0.001009,0.0108097
548,0.0010071,0.0108874
549,0.0010171,0.011006
550,0.001043,0.0124803
551,0.0013212,0.0115708
552,0.0010141,0.0111323
553,0.0010218,0.011133
554,0.0010249,0.011251
555,0.0010231,0.0113164
556,0.0010201,0.0111878
557,0.0010244,0.0111137
558,0.0010395,0.0119993
559,0.001069,0.0115106
560,0.0010282,0.0116105
561,0.0014358,0.0114973
562,0.0010335,0.0117694
563,0.0010362,0.0112825
564,0.001089,0.0119898
565,0.0014859,0.0121093
566,0.0010402,0.0157321
567,0.0013309,0.0154762
568,0.0015917,0.0157936
569,0.001469,0.0155968
570,0.0021107,0.0150428
571,0.0016513,0.0138911
572,0.0010712,0.0120288
573,0.0010606,0.0117919
574,0.0010573,0.0123668
575,0.0015624,0.0117748
576,0.0010669,0.0120859
577,0.0010641,0.0154202
578,0.0015124,0.0157681
579,0.0019751,0.0150066
580,0.0016434,0.0164905
581,0.0014462,0.0147579
582,0.0023747,0.0176873
583,0.0016223,0.0159587
584,0.0016383,0.0177689
585,0.0017623,0.0172493
586,0.0021579,0.0175996
587,0.002563,0.0162933
588,0.0015693,0.0170611
589,0.0016749,0.0152832
590,0.00218,0.0167347
591,0.0013822,0.0165958
592,0.0019063,0.0161051
593,0.0021996,0.0162822
594,0.0023616,0.0140838
595,0.0011059,0.0127066
596,0.0011529,0.0128558
597,0.001147,0.0147806
598,0.0012631,0.0161977
599,0.0015053,0.0153581
600,0.0011196,0.0181257
601,0.0018444,0.0169804
602,0.0023688,0.0161705
603,0.0026681,0.01555
604,0.0011056,0.0154981
605,0.002187,0.0182634
606,0.0021046,0.0148797
607,0.0011285,0.0136797
608,0.0011253,0.0134757
609,0.0011286,0.0134017
610,0.0011082,0.0142226
