n,mergeSort,quickSort
496,0.0012548,0.0110989
497,0.0009594,0.0095812
498,0.0009183,0.0093112
499,0.000917,0.0093715
500,0.0009147,0.009393
501,0.000993,0.0099711
502,0.0009316,0.0096172
503,0.0009646,0.0100309
504,0.0009422,0.0096236
505,0.0010626,0.0101434
506,0.0009319,0.0097113
507,0.0009276,0.0097963
508,0.0009329,0.0097452
509,0.0009676,0.0097954
510,0.0009289,0.0100639
511,0.0009472,0.0103099
512,0.0009936,0.0099338
513,0.0009352,0.0099224
514,0.0009784,0.0101423
515,0.0015126,0.0100755
516,0.0009581,0.0099663
517,0.0009518,0.0100886
518,0.0009548,0.0101431
519,0.0009623,0.0102374
520,0.000965,0.0101678
521,0.0009711,0.0105819
522,0.0009802,0.0120093
523,0.0009741,0.0112346
524,0.0009882,0.0109542
525,0.001022,0.0104445
526,0.0009737,0.0112105
527,0.0011525,0.0112462
528,0.0010516,0.010812
529,0.0010551,0.0109392
530,0.0009879,0.0112951
531,0.0011867,0.0107532
532,0.0011866,0.0111043
533,0.0011354,0.0107586
534,0.0010602,0.0110759
535,0.0010112,0.0108135
536,0.0010007,0.010852
537,0.001012,0.0112986
538,0.0010159,0.0117132
539,0.0010153,0.0122354
540,0.0010118,0.0114455
541,0.0010544,0.0110454
542,0.0010167,0.0110924
543,0.0010547,0.011067
544,0.0010252,0.0109904
545,0.0010613,0.0110771
546,0.0010293,0.0145379
547,0.0023261,0.0141366
548,0.0020764,0.0114076
549,0.0010461,0.012217
550,0.0010759,0.0116526
551,0.0010467,0.0113249
552,0.0011018,0.0116665
553,0.0011126,0.0115372
554,0.0014844,0.0113848
555,0.0010623,0.0119441
556,0.0010609,0.0115097
557,0.001069,0.0117488
558,0.0010586,0.0118693
559,0.001083,0.0116031
560,0.0011465,0.0117115
561,0.0010696,0.0126958
562,0.0010495,0.0125134
563,0.0010765,0.0132662
564,0.0011463,0.01266
565,0.001085,0.0121533
566,0.0010818,0.0120799
567,0.0010839,0.0119941
568,0.0012319,0.0119819
569,0.001122,0.0124357
570,0.0010777,0.0126499
571,0.0011834,0.0123091
572,0.0010727,0.0122476
573,0.001097,0.0122369
574,0.0011165,0.0124802
575,0.0015748,0.0128753
576,0.0011187,0.0130861
577,0.0011263,0.0124541
578,0.0011853,0.0125231
579,0.0010888,0.012505
580,0.0011222,0.0125702
581,0.0010917,0.0128591
582,0.0011272,0.0129021
583,0.0011118,0.0127604
584,0.0012198,0.0128442
585,0.0012841,0.0128895
586,0.0011085,0.0129871
587,0.0011293,0.0130805
588,0.0011191,0.0133072
589,0.0011167,0.013767
590,0.0011224,0.0129437
591,0.0015689,0.0131862
592,0.0011144,0.0152297
593,0.0011686,0.0130621
594,0.0011295,0.0131347
595,0.0012406,0.0131737
596,0.0011266,0.0137778
597,0.0011428,0.0136675
598,0.0011409,0.013507
599,0.0011527,0.0145651
600,0.0015841,0.0152819
601,0.0014757,0.0156794
602,0.0021695,0.0156451
603,0.0018131,0.0172206
604,0.0012073,0.0167919
605,0.0013182,0.0138895
606,0.0011612,0.013825
607,0.0011632,0.013752
608,0.0011956,0.0138078
609,0.0011631,0.0139251
610,0.0011926,0.013859
611,0.0012231,0.0140448
612,0.0011651,0.0142177
613,0.0012621,0.0143183
614,0.0011741,0.0141934
615,0.0011931,0.0141989
616,0.0012271,0.0142029
617,0.0012115,0.0141533
618,0.0012442,0.0143989
619,0.0012087,0.0149257
620,0.0012147,0.0144668
621,0.0012385,0.0143248
622,0.0012153,0.0144062
623,0.0012109,0.0145262
624,0.0012145,0.0144902
625,0.0012778,0.014682
626,0.0012208,0.0145044
627,0.0012181,0.0151443
628,0.0012964,0.0148419
629,0.0017977,0.0166803
630,0.0012341,0.0151884
631,0.0012255,0.0154006
632,0.0012333,0.015427
633,0.001281,0.0154496
634,0.0012633,0.0153071
635,0.0012384,0.0165813
636,0.0012477,0.0156684
637,0.0013076,0.0156553
638,0.0012304,0.0157416
639,0.0012945,0.019365
640,0.0012309,0.0151448
641,0.0012312,0.0153637
642,0.0012355,0.0156847
643,0.0012441,0.0165745
644,0.0012755,0.0151983
645,0.0012421,0.0168508
646,0.0020481,0.0208521
647,0.0014922,0.0220009
648,0.0024602,0.0194186
649,0.0020588,0.020162
650,0.0024775,0.018874
651,0.0022458,0.0208021
652,0.00199,0.0203038
653,0.0012597,0.0203712
654,0.0027133,0.0179734
655,0.0015352,0.0225024
656,0.0025608,0.0193809
657,0.0018969,0.0202272
658,0.0023845,0.0181608
659,0.002595,0.0210319
660,0.0013155,0.0202493
661,0.0016557,0.0196052
662,0.0012898,0.0208918
663,0.0022181,0.0233501
664,0.0024112,0.0197337
665,0.002376,0.0205896
666,0.0017067,0.0210118
667,0.0017566,0.0215879
668,0.0027816,0.0218585
669,0.0028924,0.0206412
670,0.0023541,0.0210592
671,0.0027704,0.0188489
672,0.0013772,0.0168712
673,0.0013096,0.0173328
674,0.0013477,0.0169665
675,0.0013137,0.0178779
676,0.0018964,0.0169394
677,0.0013166,0.0187467
678,0.0013497,0.0182364
679,0.0013244,0.0193264
680,0.0013178,0.0175609
681,0.0013126,0.0175137
682,0.0013862,0.0173716
683,0.0013157,0.0185827
684,0.0013256,0.0173438
685,0.0013281,0.0173882
686,0.001461,0.0206535
687,0.0013265,0.0177965
688,0.0013241,0.0175933
689,0.0013254,0.0179492
690,0.001361,0.017486
691,0.0013372,0.0187309
692,0.0013384,0.0178506
693,0.0013504,0.0178577
694,0.0013414,0.0178678
695,0.0014404,0.0182322
696,0.0013579,0.0179027
697,0.0013851,0.0178864
698,0.0013464,0.0189269
699,0.0013499,0.0187765
700,0.0013573,0.017985
701,0.0014004,0.0190067
702,0.0013606,0.0186684
703,0.0013561,0.0204765
704,0.0013695,0.0185664
705,0.001434,0.018621
706,0.0014101,0.0190399
707,0.0013782,0.0192243
708,0.0013765,0.0187406
709,0.0013661,0.0186994
710,0.0013681,0.0191257
711,0.001442,0.0191697
712,0.0014053,0.0185909
713,0.0013893,0.0187618
714,0.0014759,0.0204768
715,0.0015431,0.0196836
716,0.0013906,0.0205817
717,0.0014601,0.0201483
718,0.0014083,0.0189557
719,0.0017428,0.019723
720,0.001421,0.0192099
721,0.0014,0.0191321
722,0.0014198,0.0197265
723,0.0013977,0.0207758
724,0.0015565,0.0213165
725,0.0014132,0.0202586
726,0.0025524,0.0201913
727,0.0014218,0.0194736
728,0.0015122,0.021636
729,0.0014162,0.0197754
730,0.0014178,0.0199189
731,0.0014306,0.0213917
732,0.0014206,0.0203145
733,0.0015036,0.0203621
734,0.0016949,0.01978
735,0.0014668,0.0201861
736,0.0014409,0.0202037
737,0.00151,0.0206191
738,0.0014713,0.020492
739,0.0015458,0.0209662
740,0.0016141,0.0212714
741,0.0014704,0.0211194
742,0.0017181,0.0212824
743,0.0014641,0.021045
744,0.0015296,0.0214327
745,0.0014403,0.0212226
746,0.0014476,0.0218483
747,0.0014947,0.0218908
748,0.0015705,0.0227068
749,0.0015474,0.0215765
750,0.0014806,0.0216577
751,0.0015143,0.0216556
752,0.0014713,0.0218599
753,0.0015543,0.0216504
754,0.0015626,0.0218111
755,0.0015915,0.0218005
756,0.0015861,0.0218557
757,0.001589,0.0220846
758,0.0015434,0.0219809
759,0.0015334,0.022228
760,0.0014919,0.0221781
761,0.0015067,0.0233959
762,0.0015132,0.0228617
763,0.0015096,0.022534
764,0.0015332,0.0228804
765,0.0015912,0.0227611
766,0.0014916,0.0225836
767,0.001504,0.0229324
768,0.0015275,0.0258207
769,0.0015231,0.0229502
770,0.0015907,0.0230818
771,0.0014984,0.0238762
772,0.0014979,0.0229174
773,0.0015255,0.0231815
774,0.0015303,0.0234734
775,0.0015929,0.0234404
776,0.0015813,0.0230837
777,0.0015886,0.0243508
778,0.0015164,0.0233869
779,0.0016948,0.0233701
780,0.0016083,0.0243182
781,0.0015653,0.0234485
782,0.0015972,0.0233286
783,0.0016022,0.0242706
784,0.0015092,0.0244961
785,0.0015532,0.0227789
786,0.001983,0.0246557
787,0.0015277,0.023246
788,0.0015165,0.0249714
789,0.0015503,0.0240881
790,0.0015827,0.0233434
791,0.0017256,0.0235462
792,0.0016259,0.0243643
793,0.0015879,0.0230646
794,0.0015466,0.0237552
