n,mergeSort,quickSort
305,0.000585,0.000432
306,0.0005892,0.0004232
307,0.0005889,0.0004173
308,0.0005944,0.0004227
309,0.0006305,0.0004199
310,0.0005959,0.000415
311,0.0005984,0.0004054
312,0.0006515,0.0004751
313,0.0006015,0.0004849
314,0.0007164,0.0004486
315,0.0006077,0.0004359
316,0.00061,0.0004244
317,0.0006099,0.0004484
318,0.0006221,0.00047
319,0.0006121,0.0004165
320,0.000647,0.0004354
321,0.0006172,0.0004596
322,0.0006226,0.0004406
323,0.0007381,0.0004418
324,0.0006251,0.000466
325,0.0006276,0.0004713
326,0.0006325,0.0004419
327,0.0006707,0.0004407
328,0.0006368,0.0004431
329,0.0006386,0.0004524
330,0.0006331,0.0004477
331,0.0006771,0.0004393
332,0.0006611,0.0004345
333,0.0006496,0.0004586
334,0.0006789,0.000443
335,0.0006474,0.0004655
336,0.0006543,0.0004656
337,0.0006519,0.0004925
338,0.0006577,0.0004586
339,0.0006615,0.000492
340,0.0006617,0.0005639
341,0.0007223,0.0004694
342,0.0006643,0.0004785
343,0.000698,0.0005157
344,0.0006706,0.000489
345,0.0006972,0.0004917
346,0.0006709,0.0004956
347,0.0006747,0.0004617
348,0.000681,0.0005041
349,0.0006809,0.0005223
350,0.0006886,0.0004836
351,0.0006871,0.0004763
352,0.000687,0.0005057
353,0.0006883,0.0005141
354,0.0007054,0.0004838
355,0.0006916,0.0005221
356,0.0006936,0.0004891
357,0.0006981,0.0004908
358,0.0006983,0.0005198
359,0.0007033,0.000483
360,0.000804,0.0004889
361,0.0007043,0.0005217
362,0.0007463,0.0005092
363,0.0007101,0.000507
364,0.0007447,0.0004969
365,0.0007117,0.0005038
366,0.0007136,0.0005096
367,0.000748,0.0005091
368,0.0007197,0.0005318
369,0.0007184,0.00064
370,0.0008499,0.0005599
371,0.0007268,0.0005348
372,0.0007727,0.0005063
373,0.0008218,0.000596
374,0.0007328,0.0005112
375,0.0007328,0.0005046
376,0.0007337,0.0005452
377,0.0008076,0.000571
378,0.0007953,0.0005345
379,0.0007439,0.000514
380,0.0007505,0.0005265
381,0.0007488,0.0005272
382,0.0007789,0.0005212
383,0.000754,0.0005443
384,0.0007529,0.0005346
385,0.0007538,0.0006492
386,0.0007564,0.0005261
387,0.0008155,0.0005441
388,0.0007976,0.0005221
389,0.0007661,0.0005329
390,0.0007688,0.0006562
391,0.0007714,0.0005386
392,0.0007743,0.0005607
393,0.0008143,0.0006035
394,0.000779,0.0005575
395,0.0007818,0.0005951
396,0.0007823,0.0006021
397,0.0007888,0.0005455
398,0.0008181,0.0005854
399,0.0007879,0.0005331
400,0.0007889,0.0005668
401,0.000795,0.000572
402,0.0007915,0.00054
403,0.0008651,0.0006024
404,0.0009008,0.0005696
405,0.0008154,0.0005903
406,0.0008006,0.0005753
407,0.0008409,0.0006027
408,0.0008391,0.0005578
409,0.0008066,0.0005721
410,0.0008109,0.0005809
411,0.0008103,0.00057
412,0.0008776,0.0005667
413,0.0008491,0.0005883
414,0.0008186,0.0005937
415,0.000818,0.0005872
416,0.0008235,0.0005875
417,0.0008269,0.0006156
418,0.0008584,0.0006236
419,0.0008304,0.0005658
420,0.000831,0.0011105
421,0.0008365,0.0006368
422,0.0008398,0.0005839
423,0.0008691,0.0006075
424,0.0008407,0.000598
425,0.0008861,0.0006727
426,0.0008471,0.0005873
427,0.0008461,0.0006379
428,0.0009164,0.0005962
429,0.0008523,0.0005938
430,0.0008868,0.0006321
431,0.000858,0.000603
432,0.0008574,0.0006275
433,0.0008633,0.0006046
434,0.0008615,0.0006122
435,0.0009425,0.0012109
436,0.0008697,0.0006165
437,0.0009032,0.0005938
438,0.0008725,0.0006179
439,0.0009734,0.000806
440,0.0008772,0.0006243
441,0.0010435,0.0006171
442,0.0009407,0.0007221
443,0.0008846,0.0006537
444,0.0008852,0.0006226
445,0.0008866,0.0006192
446,0.0008877,0.0007135
447,0.00089,0.0006087
448,0.0009264,0.0006346
449,0.0010231,0.0006374
450,0.0008984,0.000675
451,0.0008973,0.0006439
452,0.0009033,0.0006266
453,0.0009355,0.0006456
454,0.0009069,0.0006239
455,0.0009045,0.0007555
456,0.0009109,0.0006827
457,0.0010071,0.0007146
458,0.0009134,0.0006395
459,0.0009187,0.0006329
460,0.0009302,0.0006334
461,0.000919,0.0006699
462,0.0009242,0.000631
463,0.0009568,0.0006761
464,0.000929,0.0007537
465,0.0009581,0.0007177
466,0.0009328,0.0006621
467,0.0009647,0.0006336
468,0.0009386,0.0006447
469,0.0009366,0.0007144
470,0.0009414,0.0006918
471,0.0010496,0.0007772
472,0.0009804,0.0006643
473,0.0009464,0.0006742
474,0.0009834,0.0006572
475,0.0009536,0.0006548
476,0.0009963,0.0006703
477,0.0009567,0.0006686
478,0.0009588,0.0007226
479,0.0009607,0.0006902
480,0.0009634,0.0006937
481,0.0009653,0.0006924
482,0.0010017,0.0007072
483,0.0009672,0.0006663
484,0.000975,0.0007798
485,0.0010327,0.000696
486,0.0009763,0.0007081
487,0.0009755,0.0007697
488,0.0010006,0.0007505
489,0.0009804,0.0007295
490,0.0009852,0.0007045
491,0.0009872,0.0006854
492,0.0011128,0.0007011
493,0.0009901,0.0007147
494,0.0009944,0.0007185
495,0.0009919,0.0007197
496,0.0009972,0.000717
497,0.0011263,0.0007377
498,0.0010361,0.0006921
499,0.0010021,0.0007143
500,0.0010817,0.0008561
501,0.0010076,0.0007547
502,0.0010213,0.0007779
503,0.0010093,0.0007779
504,0.001014,0.0007546
505,0.0010182,0.0007534
506,0.0010203,0.0007031
507,0.0010242,0.0007179
508,0.0010209,0.0007608
509,0.001027,0.0007203
510,0.0010302,0.0007453
511,0.0010992,0.0006996
512,0.0010904,0.0007374
513,0.0010743,0.0007066
514,0.0011673,0.0007286
515,0.0010955,0.0007944
516,0.0010639,0.0007738
517,0.0011373,0.0007989
518,0.0010725,0.0007552
519,0.0011467,0.0007287
520,0.0010743,0.0007152
521,0.0011105,0.0007381
522,0.0010891,0.0007277
523,0.0011606,0.0007473
524,0.0010882,0.0007685
525,0.0011633,0.0007421
526,0.0010956,0.0007583
527,0.0011237,0.0007583
528,0.0010946,0.000761
529,0.0011512,0.000727
530,0.0011025,0.0007618
531,0.0012055,0.0007966
532,0.0011104,0.000773
533,0.001139,0.0007701
534,0.0011155,0.0008544
535,0.0011445,0.0007657
536,0.0011163,0.0007808
537,0.0011881,0.0008045
538,0.0011784,0.0007687
539,0.0011556,0.0008504
540,0.0011954,0.0008138
541,0.0011592,0.0007558
542,0.0011294,0.0007952
543,0.0012037,0.0007723
544,0.0013255,0.0008063
545,0.0011319,0.0007927
546,0.0011399,0.0007994
547,0.0011378,0.0007959
548,0.0011457,0.0008565
549,0.0013297,0.000852
550,0.0016847,0.000779
551,0.0011643,0.000889
552,0.0011949,0.0008253
553,0.0011535,0.0007735
554,0.0011698,0.000784
555,0.0011905,0.0007734
556,0.0012038,0.0007836
557,0.001199,0.0008363
